Location,Trees Lost,Climate,Latitude,Longitude,Recommended Tree,Trees to Plant,Carbon Absorption (kg/year),Average Temperature (°C),Average Rainfall (mm/year)
Toronto,131,Temperate,-42.6075,121.1702,Cedar,392,34,21.50404544452027,712
Toronto,735,Continental,-36.4209,-45.4918,Eucalyptus,886,44,20.539008849044194,276
Beijing,922,Desert,-23.2094,-120.5394,Baobab,1112,12,4.217057681767688,1422
New York,817,Subtropical,6.1352,14.455,Mangrove,1002,44,26.708361893358948,1656
New York,222,Mediterranean,-13.9447,-102.1303,Pine,412,33,9.616749715570474,1823
Amazon Rainforest,337,Temperate,4.5267,-114.5892,Baobab,609,54,10.313500627134127,299
Toronto,272,Desert,-38.5421,53.4165,Eucalyptus,363,48,7.57791483996936,2579
New York,187,Desert,-1.7889,-33.6924,Cedar,414,40,8.975882001118272,2398
Toronto,177,Continental,16.5809,-116.3677,Eucalyptus,268,45,29.56075555403646,1009
Amazon Rainforest,934,Mediterranean,16.6593,34.4486,Maple,1151,45,38.43857939673004,2825
Amazon Rainforest,915,Tropical,30.9613,76.0851,Maple,1080,18,-0.3132279175824575,1834
Beijing,780,Temperate,31.6298,57.2632,Teak,921,33,8.851514139537327,2065
Sydney,315,Subtropical,-27.982,81.4191,Eucalyptus,425,19,32.84336646843989,1615
Beijing,398,Subtropical,-10.3349,42.8404,Eucalyptus,682,59,3.7588869711179544,2507
Beijing,257,Subtropical,-29.5604,-62.8923,Pine,473,37,21.576134385034315,1075
California,338,Mediterranean,-30.1292,16.8577,Baobab,464,27,19.355746371761512,1561
Mumbai,234,Subtropical,-1.5002,114.4511,Maple,377,27,36.223377949987444,505
Mumbai,733,Mediterranean,6.5622,-23.8615,Maple,793,16,38.31156210234295,2828
Indonesia,117,Temperate,-32.3601,102.4259,Teak,207,10,1.18469505925653,466
Amazon Rainforest,567,Temperate,-29.6666,37.3199,Cedar,688,33,8.027586224913469,488
Indonesia,647,Desert,-43.5736,-106.86,Cedar,852,50,23.753618855955878,586
Amazon Rainforest,592,Mediterranean,4.4053,-117.6187,Eucalyptus,857,32,-0.14761725416651572,2321
Sydney,628,Mediterranean,4.3541,75.9895,Maple,774,16,22.131961573255392,2555
Sydney,722,Tropical,-0.5944,-125.9232,Oak,813,59,23.216108577492857,2001
Amazon Rainforest,819,Continental,37.306,-87.8517,Pine,908,45,36.540498674883395,336
California,499,Tropical,-40.1005,-37.8159,Redwood,774,30,36.903987705663816,1200
Cape Town,572,Subtropical,37.5125,63.303,Pine,755,50,27.88554328387439,2239
California,868,Desert,-47.035,-120.942,Oak,1086,51,13.955358986274529,245
Indonesia,505,Mediterranean,18.9978,-2.2795,Mangrove,644,52,5.643353940465362,623
Mumbai,995,Continental,-16.9174,-26.9295,Silver Birch,1126,23,31.119277522114707,2875
London,272,Tropical,-30.0011,-76.2537,Mangrove,449,16,34.6684131363832,1317
Mumbai,119,Coastal,3.4862,-101.2206,Oak,229,29,24.07734355994382,1124
Toronto,587,Tropical,2.2477,-50.6662,Teak,703,31,33.65753341018777,2768
Beijing,691,Mediterranean,21.9265,-57.9307,Redwood,954,45,34.52527471584597,201
Sydney,1000,Desert,-9.5725,52.5664,Teak,1131,18,33.66723299979554,280
Beijing,964,Tropical,39.5584,123.6367,Eucalyptus,1259,12,39.65960019149269,2857
Sydney,146,Mediterranean,-48.0372,117.497,Cedar,318,35,37.612817465525154,2831
California,949,Temperate,-4.8674,-119.0256,Cedar,1154,54,4.8756606748351246,243
Cape Town,623,Mediterranean,-37.5141,-22.9456,Silver Birch,899,44,12.674534281808494,1807
Toronto,879,Coastal,-39.4528,-69.1439,Oak,992,21,3.612290671911495,2103
Indonesia,392,Coastal,41.9095,-13.2306,Oak,606,45,0.9286440142842078,2241
Indonesia,722,Continental,6.2849,-14.2413,Oak,808,41,7.411663247745107,1854
London,168,Continental,15.8194,99.7663,Redwood,411,48,3.0849617372095786,2346
Cape Town,827,Desert,-14.9501,105.8207,Baobab,1048,14,21.345336235503893,2475
California,777,Mediterranean,-20.7052,-6.8449,Oak,1056,35,25.795039012959275,2173
Amazon Rainforest,634,Mediterranean,48.0906,-129.4123,Oak,846,45,27.46880131194387,1296
New York,563,Continental,1.0535,-65.0876,Redwood,646,17,12.625256159334977,1849
Indonesia,900,Coastal,39.1419,90.9423,Maple,1119,48,35.13597563228592,469
Cape Town,722,Mediterranean,-21.531,-1.7993,Teak,819,33,17.017593282121695,2534
Mumbai,290,Temperate,11.7202,54.6761,Mangrove,480,58,33.93255839778479,2283
London,483,Continental,-37.527,-63.1451,Eucalyptus,539,13,2.0771460964329362,1803
Cape Town,964,Subtropical,48.6767,-106.2382,Pine,1020,42,14.121226938649588,572
Sydney,520,Tropical,-27.436,95.3889,Eucalyptus,796,54,24.203966055342764,2080
Indonesia,698,Coastal,-38.9131,34.9642,Pine,998,33,-0.523197790128962,2971
New York,267,Temperate,-42.3384,37.8883,Eucalyptus,396,47,29.50014401205882,1374
Toronto,699,Continental,49.8243,-103.7256,Cedar,830,42,-2.163235833495112,2349
Indonesia,778,Subtropical,-4.5591,72.1849,Maple,966,46,3.394465535136355,752
New York,822,Desert,-9.398,8.0541,Redwood,956,20,1.2559223466719347,1582
Indonesia,398,Temperate,-7.7576,-81.3609,Mangrove,653,14,3.3921618576779373,2275
Cape Town,746,Mediterranean,-41.8202,-18.9407,Oak,906,57,30.77329265053723,867
Toronto,545,Mediterranean,27.8686,-111.8971,Maple,833,36,9.363241576788523,1458
Indonesia,821,Subtropical,40.5382,55.4461,Cedar,1015,51,13.942911318788578,802
Amazon Rainforest,338,Coastal,36.8485,57.7212,Maple,488,56,36.12388503040526,1147
London,329,Desert,-36.8011,-3.2507,Cedar,620,50,27.07938536829534,1708
New York,239,Temperate,6.6811,15.2735,Eucalyptus,522,31,17.19587719154403,393
Amazon Rainforest,203,Temperate,18.775,14.1796,Pine,426,38,-0.8432125926792207,2997
Toronto,910,Coastal,-38.322,14.9941,Baobab,975,11,34.15825508492112,2222
Toronto,451,Coastal,16.6061,47.9195,Baobab,550,55,20.074015737822037,1525
New York,695,Subtropical,-0.3948,-87.6824,Eucalyptus,904,52,0.8484008545280428,1859
New York,730,Temperate,18.7859,-107.0511,Maple,943,37,8.520027591795627,1908
Cape Town,108,Tropical,40.9376,18.1261,Redwood,190,50,9.7446418048301,1720
Mumbai,129,Coastal,-11.7765,-107.5938,Cedar,402,43,3.617293295770942,2304
Toronto,859,Subtropical,46.091,-31.6875,Pine,1064,25,-4.025485856062924,348
Amazon Rainforest,944,Subtropical,-16.9718,-100.7324,Baobab,1052,30,12.484804502048242,1320
Cape Town,434,Continental,-35.9016,-54.4434,Redwood,688,34,30.528565948710245,931
Cape Town,981,Continental,-33.7957,-58.2757,Maple,1217,26,22.892281657833713,374
New York,288,Desert,34.9443,-57.1211,Cedar,546,43,34.26637601074974,1966
Amazon Rainforest,966,Mediterranean,-0.4714,-106.1205,Eucalyptus,1097,38,15.089546952219322,1186
London,499,Mediterranean,7.9502,-112.3412,Cedar,796,36,39.66980665707462,1249
Amazon Rainforest,488,Desert,41.3682,-53.308,Baobab,633,23,-1.3027742327805614,941
New York,330,Tropical,13.967,-119.764,Mangrove,594,32,8.721857238333879,407
Amazon Rainforest,916,Coastal,11.1189,-101.0286,Redwood,1205,23,11.299185420993531,2038
Beijing,872,Coastal,27.3571,-6.9413,Baobab,1044,23,15.989768241663707,905
California,441,Subtropical,-42.7188,-128.2072,Cedar,546,49,18.312157896420718,2819
California,270,Desert,-31.7537,69.9499,Maple,374,13,27.46000029998116,244
Indonesia,653,Mediterranean,-4.8594,95.904,Mangrove,780,18,17.109571371795052,2113
London,207,Desert,-12.4964,-45.7134,Maple,360,38,0.9034263055491394,1485
Sydney,676,Mediterranean,-41.2349,15.7744,Teak,874,47,13.095767884885007,2793
Sydney,506,Mediterranean,2.147,-60.2039,Silver Birch,643,14,6.134500720741094,1914
California,692,Coastal,3.0673,-114.9052,Eucalyptus,835,28,17.40273107796562,927
Indonesia,363,Mediterranean,15.5189,103.6337,Mangrove,518,12,18.35908141451951,1078
Indonesia,466,Mediterranean,42.1907,-6.1284,Maple,622,44,6.0980724513923885,512
Toronto,590,Coastal,-22.9829,-94.1309,Baobab,831,19,-4.726562504126122,2292
Mumbai,752,Coastal,-7.7153,-15.638,Maple,913,49,21.08478491497129,2732
New York,989,Desert,-25.7351,121.9592,Cedar,1170,18,0.2809470681815167,2758
Indonesia,159,Coastal,26.8542,101.861,Silver Birch,303,56,36.97860894682534,395
California,792,Desert,-11.1077,-74.7721,Teak,875,33,15.9125368274447,1419
Toronto,836,Tropical,-25.4031,15.0282,Mangrove,989,43,1.1399232301963274,2402
New York,918,Subtropical,30.5792,-102.0826,Oak,1099,47,34.941776711302296,459
California,789,Desert,19.9692,-41.7205,Redwood,881,52,12.90839879471951,2462
Mumbai,509,Coastal,41.8281,24.4649,Redwood,777,54,23.249925823829074,507
California,656,Continental,47.4182,-41.381,Oak,834,10,24.111118097827333,1028
Cape Town,572,Temperate,-2.237,5.7139,Teak,688,57,2.097036967712902,1502
Amazon Rainforest,249,Desert,35.0853,41.6728,Teak,341,49,15.580954347069689,2545
Cape Town,235,Temperate,17.5896,-42.0937,Teak,452,40,6.8938318746212985,819
Cape Town,258,Mediterranean,-22.4143,101.9654,Oak,369,47,39.98036161647165,449
New York,273,Continental,-15.2532,-47.6309,Redwood,368,26,2.169539981203509,1483
London,980,Tropical,-19.467,-52.193,Mangrove,1229,45,11.680823013384579,1103
Amazon Rainforest,856,Tropical,13.5219,-86.7611,Cedar,1123,54,1.13671223475996,1368
Toronto,703,Mediterranean,-33.6548,9.6433,Maple,808,52,9.589471104673098,1859
California,968,Mediterranean,31.8622,50.9273,Redwood,1127,55,32.470559409906436,2995
Toronto,370,Mediterranean,-31.5495,-93.1106,Pine,604,46,23.413459886537524,1400
Beijing,236,Tropical,-23.7766,102.5433,Oak,326,59,29.930275313185135,1470
Amazon Rainforest,763,Coastal,19.2238,86.3382,Maple,870,21,10.28068050555216,247
Indonesia,649,Temperate,-4.854,39.826,Cedar,703,14,28.551503977930636,2035
Cape Town,588,Desert,-43.7211,14.0482,Redwood,740,53,-0.7673760786682386,1835
Sydney,282,Subtropical,-38.8821,107.8469,Redwood,442,43,-4.150609685655634,2163
Sydney,173,Desert,-14.5391,60.1235,Mangrove,295,43,31.406140949728524,1373
Cape Town,210,Desert,42.1954,15.6784,Maple,338,35,-4.0210102465677755,1642
Mumbai,151,Temperate,-13.082,100.5616,Eucalyptus,264,54,39.62854641149844,2731
Sydney,818,Temperate,30.6102,126.8593,Maple,1004,36,39.14679577015947,2181
Mumbai,220,Mediterranean,-14.2894,-59.467,Teak,491,12,36.6548660995396,310
Toronto,587,Temperate,-12.708,46.5762,Redwood,847,32,34.66162250803832,2397
New York,120,Subtropical,19.5676,92.3236,Baobab,299,55,23.11562593522424,2907
Toronto,736,Continental,-31.093,-70.4187,Oak,969,58,36.161219447998874,2714
Cape Town,528,Mediterranean,19.7072,78.3213,Mangrove,740,57,0.09769264314249426,1884
London,148,Continental,42.2485,-15.0634,Teak,371,52,21.79100845734877,505
Cape Town,266,Tropical,16.5619,-119.6473,Mangrove,455,22,9.623971011590744,2777
Toronto,485,Subtropical,-49.299,14.6696,Eucalyptus,684,40,10.73869849974453,373
London,838,Tropical,45.8768,-57.742,Teak,1042,33,11.726779950315166,2043
New York,528,Subtropical,33.2433,0.6751,Silver Birch,584,14,18.640364928651977,2828
Amazon Rainforest,791,Temperate,32.6886,96.9418,Baobab,1061,15,5.590279509328575,877
Cape Town,177,Desert,3.2635,16.0555,Eucalyptus,232,46,37.68558815574047,1664
Sydney,695,Subtropical,32.7878,25.3066,Cedar,899,46,35.710933969711924,1536
New York,427,Desert,2.9846,-86.8431,Eucalyptus,523,51,2.039057797536797,1856
Beijing,693,Coastal,-35.2652,78.1054,Oak,793,55,21.5775673176357,2651
Mumbai,197,Mediterranean,-10.8104,51.5639,Cedar,338,39,0.20166453722173117,1328
London,864,Subtropical,20.769,127.5676,Silver Birch,1111,30,18.542451506445264,1865
Indonesia,736,Coastal,-39.7728,104.6617,Silver Birch,786,60,5.671664448273965,2742
Toronto,895,Desert,-45.0839,-43.676,Oak,980,46,22.980110227484314,1198
London,982,Desert,-43.55,-85.6113,Mangrove,1182,35,13.493136407031578,2329
Sydney,462,Coastal,37.2917,54.5421,Baobab,657,33,34.82989929818233,2478
Toronto,472,Temperate,-12.2137,-39.1489,Teak,596,52,30.597568167018103,727
Toronto,464,Subtropical,-44.0102,-111.5745,Redwood,542,23,15.762587621338632,2795
Beijing,682,Coastal,-46.2902,47.5158,Silver Birch,961,22,2.487955628361396,486
Sydney,603,Temperate,46.4474,-30.1281,Silver Birch,762,58,4.624353484859233,1809
California,811,Mediterranean,-8.014,-71.6462,Baobab,964,13,35.02993094289311,1289
Mumbai,162,Tropical,6.3865,-8.1548,Oak,257,20,19.342712024603056,2388
Cape Town,138,Mediterranean,-49.6804,44.5143,Pine,248,17,1.522768063883305,2703
New York,921,Tropical,39.9882,58.705,Mangrove,1170,34,29.55612909188296,251
California,989,Continental,31.1362,33.2072,Eucalyptus,1123,60,11.334657026602486,712
New York,725,Coastal,-7.3613,-37.0161,Mangrove,857,54,-0.007297975022274805,1601
New York,318,Desert,-2.3401,-87.8915,Mangrove,427,12,10.186046674704048,444
Cape Town,980,Continental,27.1901,-111.7673,Teak,1205,23,21.46285160383138,2187
London,842,Coastal,46.5852,53.0379,Maple,941,27,2.2006300691052063,783
Beijing,380,Tropical,-11.8548,95.0424,Redwood,430,58,23.296700673208605,2109
New York,891,Continental,-0.6467,8.3287,Mangrove,984,60,35.150337231865,969
Beijing,863,Subtropical,27.6366,-115.1382,Silver Birch,987,23,13.76553935663059,2297
New York,528,Continental,-23.9672,20.8395,Teak,666,31,32.71124093155612,1603
Cape Town,952,Coastal,33.5068,125.9336,Baobab,1093,34,13.246606194877803,2034
California,239,Coastal,11.1562,39.0396,Mangrove,391,18,-4.030450652477166,1408
Mumbai,921,Coastal,31.9637,116.1151,Maple,1170,26,17.051984102754556,1070
Cape Town,133,Mediterranean,1.6961,-90.6259,Cedar,232,34,28.82436938172784,2607
Amazon Rainforest,540,Continental,-48.2637,80.85,Teak,752,15,4.407389710187637,2254
London,589,Subtropical,1.3868,70.8682,Silver Birch,887,46,38.152119029752626,2138
Cape Town,542,Desert,17.0925,-13.1395,Mangrove,686,19,31.00562826182042,1287
London,167,Desert,-39.2821,113.8576,Redwood,231,44,23.471778558449397,1157
New York,405,Mediterranean,-24.3433,-109.5237,Maple,657,49,1.574271626423755,512
Beijing,807,Coastal,49.8925,62.5871,Teak,1085,29,-2.0482894539482857,1958
London,809,Coastal,48.5206,84.9942,Maple,868,26,1.2000109230525426,422
California,324,Subtropical,11.4419,38.4285,Mangrove,397,48,19.104594689821294,1184
New York,345,Temperate,-29.7002,33.4899,Mangrove,505,56,6.053509817299934,1307
Sydney,180,Subtropical,8.0054,-97.5868,Teak,460,44,-2.058968582215988,2923
Mumbai,310,Continental,9.1068,-56.5005,Oak,363,15,10.075131015488436,475
Amazon Rainforest,420,Coastal,-35.8482,-125.5866,Redwood,646,45,11.22251588634569,455
Mumbai,416,Continental,2.6916,-40.1379,Silver Birch,627,32,31.895466425920432,1187
Beijing,285,Mediterranean,1.1999,-42.6794,Pine,379,34,35.212852120651576,1841
New York,766,Continental,-44.8885,61.6053,Oak,839,12,38.25031020170904,938
Mumbai,345,Temperate,-28.8605,-53.4258,Redwood,421,33,28.183073599304905,2448
Amazon Rainforest,846,Temperate,30.8205,-10.6181,Pine,960,47,10.475269513881653,1572
Toronto,161,Mediterranean,42.2965,110.437,Maple,444,31,34.11583548214492,994
New York,148,Temperate,-10.8773,-1.555,Cedar,433,10,31.191715797239368,1432
Cape Town,206,Desert,-28.5469,-97.5405,Redwood,284,29,26.81698119242941,2182
California,102,Continental,-35.3166,91.8116,Silver Birch,156,57,27.05540692188859,1496
Beijing,560,Desert,-22.3092,86.0337,Mangrove,697,39,33.79066363974883,2669
Toronto,117,Mediterranean,42.6973,129.3101,Baobab,203,25,36.56120539685325,2002
Beijing,306,Coastal,3.2916,47.0186,Silver Birch,468,44,21.429963319524067,2087
California,472,Subtropical,-23.237,-92.4069,Eucalyptus,731,59,8.898899420156903,1197
New York,323,Tropical,38.7715,84.8346,Pine,539,37,15.697687762907485,1356
Toronto,442,Coastal,14.4623,-13.2401,Mangrove,553,16,7.25301375920756,2002
Cape Town,778,Subtropical,36.2457,-84.9586,Oak,1059,10,-4.653162509903659,2585
Sydney,436,Coastal,-29.3828,53.0148,Cedar,522,29,16.67009193200566,2873
Indonesia,714,Subtropical,15.3531,-98.1401,Eucalyptus,794,44,1.1265517401743779,2750
Beijing,129,Coastal,-1.3057,-120.2172,Redwood,333,55,22.698304567076505,1157
Indonesia,854,Tropical,29.5324,96.3713,Mangrove,1005,17,26.609026433966974,2122
California,103,Continental,-46.0689,-93.2635,Baobab,298,35,10.944040723629115,2905
London,138,Subtropical,-33.4986,-117.7145,Baobab,343,55,5.652120234570869,2908
Mumbai,282,Coastal,-20.3687,122.3872,Mangrove,467,16,27.927022786850223,1306
Cape Town,366,Temperate,11.4599,-103.3883,Cedar,642,36,29.134142607117994,790
Mumbai,894,Mediterranean,40.2034,-31.3863,Pine,1126,36,-1.3073039435586638,2278
Sydney,118,Temperate,47.7855,-97.1512,Mangrove,377,30,0.9760049827921105,1375
Amazon Rainforest,638,Temperate,22.1287,-27.283,Oak,720,23,31.38740598265889,805
California,313,Tropical,-22.1032,52.0163,Oak,372,51,18.931470284549466,671
London,526,Continental,22.0718,118.5721,Pine,698,51,22.033353596392462,496
London,751,Temperate,18.4325,-44.2924,Cedar,983,19,22.103458355838956,882
Amazon Rainforest,537,Desert,-37.4277,-97.3489,Mangrove,757,26,36.270170946659455,203
California,827,Mediterranean,15.5276,31.5567,Eucalyptus,940,33,38.35788720528268,1832
New York,247,Temperate,-49.0788,-98.4577,Teak,522,17,35.20968690142815,2111
Beijing,326,Subtropical,3.683,-77.1015,Maple,381,22,20.034886036139604,1291
New York,564,Coastal,-10.9584,15.5883,Eucalyptus,759,19,12.325248280380016,253
Beijing,812,Tropical,-29.7238,-71.4455,Maple,933,47,17.574165500122902,731
Toronto,242,Mediterranean,-40.5118,92.1876,Teak,367,56,20.139213304108875,1761
London,519,Desert,-14.385,-37.7732,Baobab,633,50,14.631046901076978,1322
California,698,Tropical,-30.6733,-74.8638,Eucalyptus,994,52,18.59017552656321,1336
Cape Town,757,Desert,-0.1204,89.6797,Redwood,864,52,8.176546190796138,520
Mumbai,706,Desert,20.2515,-13.665,Cedar,821,45,-0.17513886988656502,2594
Amazon Rainforest,200,Continental,37.9179,-96.1328,Eucalyptus,472,45,24.97570614595273,2785
London,978,Coastal,-16.8591,-106.1503,Pine,1124,11,-4.576506780322717,533
Toronto,210,Mediterranean,-8.8351,-36.5797,Baobab,434,40,7.783335720188825,2719
Amazon Rainforest,349,Mediterranean,36.7838,37.4749,Baobab,427,18,-3.505197643588798,2272
Beijing,326,Desert,-17.8379,-23.1447,Cedar,482,47,12.803003350629862,2501
Beijing,355,Tropical,48.7495,-30.5606,Cedar,559,22,36.78512146427886,972
Amazon Rainforest,588,Subtropical,-24.6308,43.1222,Cedar,819,16,30.51591116481505,1113
London,335,Mediterranean,8.6012,50.0394,Cedar,635,51,8.837464999109883,2655
London,215,Subtropical,-2.3463,-74.0231,Cedar,277,55,21.753251660402295,1059
Mumbai,566,Coastal,17.6212,-27.9353,Baobab,847,27,16.411656127913226,1384
Toronto,708,Tropical,-40.085,1.1827,Silver Birch,997,39,22.48134905365394,2715
Amazon Rainforest,208,Subtropical,7.4393,35.3679,Oak,447,27,15.382776118645346,2636
California,278,Coastal,15.1459,107.1012,Redwood,465,42,7.613397753163673,2984
Cape Town,651,Continental,-3.1508,-72.5193,Pine,924,40,8.514832597837882,1025
Cape Town,369,Continental,-17.0978,-94.7648,Baobab,614,52,39.341543710467676,755
Indonesia,515,Coastal,37.5265,80.6056,Teak,723,35,39.85123833378228,2849
New York,484,Tropical,0.7982,-44.4262,Cedar,616,28,26.046463631752317,816
Mumbai,166,Tropical,26.0884,-14.3704,Redwood,343,35,38.63169378403657,2483
California,107,Mediterranean,4.6807,10.7569,Silver Birch,377,59,34.2897025294311,1799
Mumbai,394,Temperate,47.641,29.5509,Silver Birch,591,43,31.191108779876004,2031
London,331,Coastal,-3.9341,-90.5969,Pine,504,16,10.198531121176803,592
Cape Town,615,Subtropical,-45.3239,-100.774,Pine,899,46,24.68854543915318,2541
Amazon Rainforest,342,Temperate,-25.6574,-51.5318,Maple,531,59,20.154105228509987,1592
Mumbai,939,Desert,-8.4486,-64.6713,Eucalyptus,1143,17,20.791246798326384,564
New York,960,Coastal,8.5155,126.8558,Cedar,1105,53,-1.933539686050136,1973
Beijing,444,Tropical,26.9864,25.5175,Pine,551,35,-4.047275181346077,1206
California,739,Continental,13.8321,-126.5634,Eucalyptus,966,15,7.390833929919374,836
Mumbai,630,Tropical,37.7535,64.3249,Oak,878,20,19.984276925170292,272
Sydney,664,Coastal,-11.0849,-112.9142,Pine,763,53,7.4924852785142555,2097
Sydney,800,Mediterranean,42.466,-41.9178,Oak,919,27,-4.524037734991915,2010
Sydney,988,Subtropical,-11.5281,-0.009,Teak,1229,22,36.60523433671083,1469
Beijing,372,Temperate,36.3879,-106.6053,Oak,450,33,-0.26431799060142414,595
Cape Town,716,Desert,-0.7233,-52.6717,Cedar,844,39,20.460124513525077,2620
Beijing,773,Coastal,-26.0978,-18.5392,Redwood,1062,54,-3.5281938557760455,477
London,953,Mediterranean,29.2109,98.0217,Eucalyptus,1044,56,7.048501966668804,1913
London,713,Subtropical,37.237,-22.8098,Baobab,859,36,22.577419326697836,2983
London,116,Continental,-49.1123,55.3411,Maple,323,34,33.896396230032565,2600
Toronto,219,Mediterranean,12.9199,-85.8007,Silver Birch,308,16,20.990096258150704,2056
New York,262,Tropical,32.1214,-68.1047,Eucalyptus,516,25,36.47068283514771,638
Mumbai,954,Continental,12.5902,24.4627,Redwood,1122,29,1.1439461466864742,2211
Toronto,143,Mediterranean,-12.9797,81.7791,Silver Birch,354,50,27.985132594679314,320
Beijing,845,Coastal,-38.1082,40.6319,Maple,1013,13,35.545474200708455,377
Indonesia,739,Coastal,-27.5945,9.568,Silver Birch,1016,55,31.39158107201144,2528
Toronto,436,Mediterranean,26.6065,-64.5668,Baobab,512,50,9.701324735009575,995
New York,776,Tropical,-0.9123,-21.1098,Mangrove,1000,44,38.634390005282164,2511
Amazon Rainforest,496,Subtropical,-39.2078,26.6929,Mangrove,738,31,22.98037588999832,812
California,670,Subtropical,2.4631,-91.3004,Pine,776,45,-4.481754484980839,2092
Indonesia,559,Tropical,43.1637,20.4221,Baobab,757,52,2.077129434455064,1161
Toronto,637,Mediterranean,-36.5205,-41.7661,Cedar,703,37,22.113536389077414,379
Toronto,405,Subtropical,-26.3861,-120.223,Silver Birch,550,13,34.28268130127112,2636
Mumbai,881,Desert,-3.0464,8.6443,Teak,940,27,-4.9879578040020505,1577
Beijing,679,Continental,10.9532,45.0914,Maple,730,43,29.380885382002567,2387
Mumbai,708,Temperate,48.5739,8.4852,Cedar,985,26,23.297147639114183,1682
Cape Town,942,Continental,7.4561,77.9657,Cedar,1076,13,33.08777229684972,974
Mumbai,351,Coastal,5.2573,-101.0532,Pine,482,23,18.11409313389495,2211
Cape Town,807,Coastal,-12.9252,13.6745,Mangrove,929,60,-3.293081286733792,2924
Toronto,247,Coastal,-42.6224,-45.571,Baobab,298,20,2.8449000851985575,2154
Sydney,251,Desert,-27.6606,-34.753,Cedar,327,54,17.024858571868773,2604
Cape Town,551,Mediterranean,15.5771,-89.2135,Silver Birch,744,54,35.19994965694104,2012
Indonesia,250,Mediterranean,-47.3342,-118.6719,Mangrove,421,11,25.15272838285124,630
Indonesia,229,Subtropical,20.6728,91.2505,Silver Birch,343,15,29.181925260568683,2252
Beijing,217,Temperate,-31.7516,109.2663,Silver Birch,480,60,6.073152050495999,1385
Mumbai,304,Desert,-2.3927,-51.7619,Redwood,400,33,31.625260612220757,2598
Cape Town,647,Continental,18.8897,-103.9439,Baobab,753,31,24.790273514946904,2676
California,662,Subtropical,25.1959,83.1668,Cedar,908,44,16.056521027791952,2984
California,557,Temperate,-45.0604,-100.063,Pine,625,53,8.639356084651608,2340
Indonesia,657,Temperate,2.3098,-105.0351,Baobab,820,57,26.514073850555413,897
Indonesia,432,Coastal,-32.217,67.1595,Eucalyptus,732,34,26.189928554928212,2647
London,734,Tropical,-23.0767,-10.4091,Teak,840,51,1.974531114694134,1218
London,185,Temperate,49.7984,99.5078,Redwood,239,33,-2.148347831712274,1081
London,117,Continental,-29.902,15.7932,Pine,406,42,3.9771538174841528,966
